carrier,substance,region,technology,time,scenario,value
sldg,car,DE,nof,2020,high_env_pol,0.0
sldg,car,DE,nof,2020,low_env_pol,0.0
sldg,car,DE,nof,2035,high_env_pol,0.0
sldg,car,DE,nof,2035,low_env_pol,0.0
sldg,car,DE,nof,2045,high_env_pol,0.0
sldg,car,DE,nof,2045,low_env_pol,0.0
sldg,car,DE,aop,2020,high_env_pol,0.0
sldg,car,DE,aop,2020,low_env_pol,0.0
sldg,car,DE,aop,2035,high_env_pol,0.0
sldg,car,DE,aop,2035,low_env_pol,0.0
sldg,car,DE,aop,2045,high_env_pol,0.0
sldg,car,DE,aop,2045,low_env_pol,0.0
sldg,car,DE,o3,2020,high_env_pol,0.0
sldg,car,DE,o3,2020,low_env_pol,0.0
sldg,car,DE,o3,2035,high_env_pol,0.0
sldg,car,DE,o3,2035,low_env_pol,0.0
sldg,car,DE,o3,2045,high_env_pol,0.0
sldg,car,DE,o3,2045,low_env_pol,0.0
sldg,car,DE,gac,2020,high_env_pol,0.0
sldg,car,DE,gac,2020,low_env_pol,0.0
sldg,car,DE,gac,2035,high_env_pol,0.0
sldg,car,DE,gac,2035,low_env_pol,0.0
sldg,car,DE,gac,2045,high_env_pol,0.0
sldg,car,DE,gac,2045,low_env_pol,0.0
sldg,cec,DE,nof,2020,high_env_pol,0.0
sldg,cec,DE,nof,2020,low_env_pol,0.0
sldg,cec,DE,nof,2035,high_env_pol,0.0
sldg,cec,DE,nof,2035,low_env_pol,0.0
sldg,cec,DE,nof,2045,high_env_pol,0.0
sldg,cec,DE,nof,2045,low_env_pol,0.0
sldg,cec,DE,aop,2020,high_env_pol,0.0
sldg,cec,DE,aop,2020,low_env_pol,0.0
sldg,cec,DE,aop,2035,high_env_pol,0.0
sldg,cec,DE,aop,2035,low_env_pol,0.0
sldg,cec,DE,aop,2045,high_env_pol,0.0
sldg,cec,DE,aop,2045,low_env_pol,0.0
sldg,cec,DE,o3,2020,high_env_pol,0.0
sldg,cec,DE,o3,2020,low_env_pol,0.0
sldg,cec,DE,o3,2035,high_env_pol,0.0
sldg,cec,DE,o3,2035,low_env_pol,0.0
sldg,cec,DE,o3,2045,high_env_pol,0.0
sldg,cec,DE,o3,2045,low_env_pol,0.0
sldg,cec,DE,gac,2020,high_env_pol,0.0
sldg,cec,DE,gac,2020,low_env_pol,0.0
sldg,cec,DE,gac,2035,high_env_pol,0.0
sldg,cec,DE,gac,2035,low_env_pol,0.0
sldg,cec,DE,gac,2045,high_env_pol,0.0
sldg,cec,DE,gac,2045,low_env_pol,0.0
wtr,car,DE,nof,2020,high_env_pol,0.0
wtr,car,DE,nof,2020,low_env_pol,0.0
wtr,car,DE,nof,2035,high_env_pol,0.0
wtr,car,DE,nof,2035,low_env_pol,0.0
wtr,car,DE,nof,2045,high_env_pol,0.0
wtr,car,DE,nof,2045,low_env_pol,0.0
wtr,car,DE,aop,2020,high_env_pol,0.0
wtr,car,DE,aop,2020,low_env_pol,0.0
wtr,car,DE,aop,2035,high_env_pol,0.0
wtr,car,DE,aop,2035,low_env_pol,0.0
wtr,car,DE,aop,2045,high_env_pol,0.0
wtr,car,DE,aop,2045,low_env_pol,0.0
wtr,car,DE,o3,2020,high_env_pol,0.0
wtr,car,DE,o3,2020,low_env_pol,0.0
wtr,car,DE,o3,2035,high_env_pol,0.0
wtr,car,DE,o3,2035,low_env_pol,0.0
wtr,car,DE,o3,2045,high_env_pol,0.0
wtr,car,DE,o3,2045,low_env_pol,0.0
wtr,car,DE,gac,2020,high_env_pol,0.0
wtr,car,DE,gac,2020,low_env_pol,0.0
wtr,car,DE,gac,2035,high_env_pol,0.0
wtr,car,DE,gac,2035,low_env_pol,0.0
wtr,car,DE,gac,2045,high_env_pol,0.0
wtr,car,DE,gac,2045,low_env_pol,0.0
wtr,cec,DE,nof,2020,high_env_pol,0.0
wtr,cec,DE,nof,2020,low_env_pol,0.0
wtr,cec,DE,nof,2035,high_env_pol,0.0
wtr,cec,DE,nof,2035,low_env_pol,0.0
wtr,cec,DE,nof,2045,high_env_pol,0.0
wtr,cec,DE,nof,2045,low_env_pol,0.0
wtr,cec,DE,aop,2020,high_env_pol,0.0
wtr,cec,DE,aop,2020,low_env_pol,0.0
wtr,cec,DE,aop,2035,high_env_pol,35.423444304
wtr,cec,DE,aop,2035,low_env_pol,0.0
wtr,cec,DE,aop,2045,high_env_pol,534.8524600000001
wtr,cec,DE,aop,2045,low_env_pol,0.0
wtr,cec,DE,o3,2020,high_env_pol,18.578822309671846
wtr,cec,DE,o3,2020,low_env_pol,18.578822309671846
wtr,cec,DE,o3,2035,high_env_pol,177.11722152000002
wtr,cec,DE,o3,2035,low_env_pol,214.62038994
wtr,cec,DE,o3,2045,high_env_pol,320.91147600000005
wtr,cec,DE,o3,2045,low_env_pol,702.6855254000001
wtr,cec,DE,gac,2020,high_env_pol,18.578822309671846
wtr,cec,DE,gac,2020,low_env_pol,18.578822309671846
wtr,cec,DE,gac,2035,high_env_pol,141.693777216
wtr,cec,DE,gac,2035,low_env_pol,214.62038994
wtr,cec,DE,gac,2045,high_env_pol,213.94098400000004
wtr,cec,DE,gac,2045,low_env_pol,702.6855254000001
oxi_con,car,DE,nof,2020,high_env_pol,0.0
oxi_con,car,DE,nof,2020,low_env_pol,0.0
oxi_con,car,DE,nof,2035,high_env_pol,0.0
oxi_con,car,DE,nof,2035,low_env_pol,0.0
oxi_con,car,DE,nof,2045,high_env_pol,0.0
oxi_con,car,DE,nof,2045,low_env_pol,0.0
oxi_con,car,DE,aop,2020,high_env_pol,0.0
oxi_con,car,DE,aop,2020,low_env_pol,0.0
oxi_con,car,DE,aop,2035,high_env_pol,0.0
oxi_con,car,DE,aop,2035,low_env_pol,0.0
oxi_con,car,DE,aop,2045,high_env_pol,0.0
oxi_con,car,DE,aop,2045,low_env_pol,0.0
oxi_con,car,DE,o3,2020,high_env_pol,0.0
oxi_con,car,DE,o3,2020,low_env_pol,0.0
oxi_con,car,DE,o3,2035,high_env_pol,0.0
oxi_con,car,DE,o3,2035,low_env_pol,0.0
oxi_con,car,DE,o3,2045,high_env_pol,0.0
oxi_con,car,DE,o3,2045,low_env_pol,0.0
oxi_con,car,DE,gac,2020,high_env_pol,0.0
oxi_con,car,DE,gac,2020,low_env_pol,0.0
oxi_con,car,DE,gac,2035,high_env_pol,0.0
oxi_con,car,DE,gac,2035,low_env_pol,0.0
oxi_con,car,DE,gac,2045,high_env_pol,0.0
oxi_con,car,DE,gac,2045,low_env_pol,0.0
oxi_con,cec,DE,nof,2020,high_env_pol,0.0
oxi_con,cec,DE,nof,2020,low_env_pol,0.0
oxi_con,cec,DE,nof,2035,high_env_pol,0.0
oxi_con,cec,DE,nof,2035,low_env_pol,0.0
oxi_con,cec,DE,nof,2045,high_env_pol,0.0
oxi_con,cec,DE,nof,2045,low_env_pol,0.0
oxi_con,cec,DE,aop,2020,high_env_pol,0.0
oxi_con,cec,DE,aop,2020,low_env_pol,0.0
oxi_con,cec,DE,aop,2035,high_env_pol,0.0
oxi_con,cec,DE,aop,2035,low_env_pol,0.0
oxi_con,cec,DE,aop,2045,high_env_pol,0.0
oxi_con,cec,DE,aop,2045,low_env_pol,0.0
oxi_con,cec,DE,o3,2020,high_env_pol,0.0
oxi_con,cec,DE,o3,2020,low_env_pol,0.0
oxi_con,cec,DE,o3,2035,high_env_pol,0.0
oxi_con,cec,DE,o3,2035,low_env_pol,0.0
oxi_con,cec,DE,o3,2045,high_env_pol,0.0
oxi_con,cec,DE,o3,2045,low_env_pol,0.0
oxi_con,cec,DE,gac,2020,high_env_pol,0.0
oxi_con,cec,DE,gac,2020,low_env_pol,0.0
oxi_con,cec,DE,gac,2035,high_env_pol,0.0
oxi_con,cec,DE,gac,2035,low_env_pol,0.0
oxi_con,cec,DE,gac,2045,high_env_pol,0.0
oxi_con,cec,DE,gac,2045,low_env_pol,0.0
