time,region,carrier,substance,technology,value
2020,DE,wtr,cec,aop,0.8
2020,DE,sldg,cec,aop,0.8
2020,DE,wtr,cec,gac,0.8
2020,DE,sldg,cec,gac,0.8
2020,DE,wtr,cec,o3,0.8
2020,DE,sldg,cec,o3,0.8
2020,DE,wtr,cec,nof,0
2020,DE,sldg,cec,nof,0
2020,DE,wtr,car,aop,0
2020,DE,sldg,car,aop,0
2020,DE,wtr,car,gac,0
2020,DE,sldg,car,gac,0
2020,DE,wtr,car,o3,0
2020,DE,sldg,car,o3,0
2020,DE,wtr,car,nof,0
2020,DE,sldg,car,nof,0
2020,DE,oxi_con,car,aop,0
2020,DE,oxi_con,cec,aop,0
2020,DE,oxi_con,car,gac,0
2020,DE,oxi_con,cec,gac,0
2020,DE,oxi_con,car,o3,0
2020,DE,oxi_con,cec,o3,0
2020,DE,oxi_con,car,nof,0
2020,DE,oxi_con,cec,nof,0
2035,DE,wtr,cec,aop,0.8
2035,DE,sldg,cec,aop,0.8
2035,DE,wtr,cec,gac,0.8
2035,DE,sldg,cec,gac,0.8
2035,DE,wtr,cec,o3,0.8
2035,DE,sldg,cec,o3,0.8
2035,DE,wtr,cec,nof,0
2035,DE,sldg,cec,nof,0
2035,DE,wtr,car,aop,0
2035,DE,sldg,car,aop,0
2035,DE,wtr,car,gac,0
2035,DE,sldg,car,gac,0
2035,DE,wtr,car,o3,0
2035,DE,sldg,car,o3,0
2035,DE,wtr,car,nof,0
2035,DE,sldg,car,nof,0
2035,DE,oxi_con,car,aop,0
2035,DE,oxi_con,cec,aop,0
2035,DE,oxi_con,car,gac,0
2035,DE,oxi_con,cec,gac,0
2035,DE,oxi_con,car,o3,0
2035,DE,oxi_con,cec,o3,0
2035,DE,oxi_con,car,nof,0
2035,DE,oxi_con,cec,nof,0
2045,DE,wtr,cec,aop,0.8
2045,DE,sldg,cec,aop,0.8
2045,DE,wtr,cec,gac,0.8
2045,DE,sldg,cec,gac,0.8
2045,DE,wtr,cec,o3,0.8
2045,DE,sldg,cec,o3,0.8
2045,DE,wtr,cec,nof,0
2045,DE,sldg,cec,nof,0
2045,DE,wtr,car,aop,0
2045,DE,sldg,car,aop,0
2045,DE,wtr,car,gac,0
2045,DE,sldg,car,gac,0
2045,DE,wtr,car,o3,0
2045,DE,sldg,car,o3,0
2045,DE,wtr,car,nof,0
2045,DE,sldg,car,nof,0
2045,DE,oxi_con,car,aop,0
2045,DE,oxi_con,cec,aop,0
2045,DE,oxi_con,car,gac,0
2045,DE,oxi_con,cec,gac,0
2045,DE,oxi_con,car,o3,0
2045,DE,oxi_con,cec,o3,0
2045,DE,oxi_con,car,nof,0
2045,DE,oxi_con,cec,nof,0